k,method,mIoP,IoP@0.3,IoP@0.5,mIoU,IoU@0.3,IoU@0.5,n_scored
4,A,0.27882,0.32402,0.23575,0.17789,0.23687,0.1121,2685
4,B,0.29774,0.32253,0.29721,0.07544,0.09572,0.03985,2685
4,C,0.28818,0.327,0.28715,0.10024,0.13147,0.06443,2685
5,A,0.27769,0.327,0.22868,0.19374,0.25736,0.12663,2685
5,B,0.29742,0.32551,0.29795,0.09011,0.11918,0.05177,2685
5,C,0.28779,0.327,0.28715,0.10148,0.13333,0.06555,2685
8,A,0.27028,0.3162,0.20223,0.21447,0.27412,0.14041,2685
8,B,0.29252,0.33222,0.28752,0.11615,0.16238,0.08082,2685
8,C,0.28537,0.32514,0.28343,0.10433,0.13631,0.0689,2685
12,A,0.26385,0.30503,0.18585,0.22188,0.27784,0.14562,2685
12,B,0.28941,0.34413,0.28678,0.13921,0.20372,0.11024,2685
12,C,0.28311,0.32142,0.28045,0.10425,0.13445,0.06816,2685
16,A,0.26043,0.29907,0.17654,0.22488,0.27374,0.14413,2685
16,B,0.29781,0.36313,0.29013,0.15908,0.22868,0.12961,2685
16,C,0.2828,0.32142,0.2797,0.1045,0.13408,0.06778,2685
