method_name,window_coverage,fiw,recall_at_1,recall_at_5,recall_at_10,ci_lower,ci_upper
CLIP K-Means Diversity,1.0,0.2006728771589198,0.0784313725490196,0.16862745098039217,0.2,1.0,1.0
CLIP Query Top-K,0.9803921568627451,0.23672106735918322,0.3137254901960784,0.5098039215686274,0.6235294117647059,0.96197355818071,0.996078431372549
Codec-Only PPR (Ablation),1.0,0.1999668526827145,0.22745098039215686,0.5137254901960784,0.7058823529411765,1.0,1.0
Hybrid PPR (Ablation),1.0,0.1999668526827145,0.28627450980392155,0.5607843137254902,0.7215686274509804,1.0,1.0
I-frame Prior,1.0,0.19692856377107384,0.050980392156862744,0.17647058823529413,0.19215686274509805,1.0,1.0
Luma Difference,1.0,0.19993714382947622,0.20784313725490197,0.4745098039215686,0.6392156862745098,1.0,1.0
Classical Optical Flow (Farneback),0.6823529411764706,0.19583100222184166,0.18823529411764706,0.18823529411764706,0.19607843137254902,0.6147859922178989,0.748062015503876
Coded Packet Size Only,1.0,0.20027961675808179,0.18823529411764706,0.49411764705882355,0.7058823529411765,1.0,1.0
Proposed Model (Selection Only),1.0,0.1999668526827145,0.2235294117647059,0.5294117647058824,0.6901960784313725,1.0,1.0
Proposed System (Graph Retrieval),1.0,0.1999668526827145,0.20784313725490197,0.5764705882352941,0.7137254901960784,1.0,1.0
Random (Mean across 30 seeds),0.9997385620915032,0.19977095953271254,0.10366013071895425,0.17620915032679738,0.20875816993464053,0.9993412384716733,1.0
Scene Change,1.0,0.197254774279308,0.050980392156862744,0.1803921568627451,0.19215686274509805,1.0,1.0
Semantic-Only PPR (Ablation),1.0,0.1999668526827145,0.2627450980392157,0.5333333333333333,0.7098039215686275,1.0,1.0
Uniform,1.0,0.19780501737115938,0.050980392156862744,0.1803921568627451,0.19607843137254902,1.0,1.0
